element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,2,"=""300.0109""","=""0.0003""","=""300.010929""","=""0.000006""","=""3""","=""""",,"=""163299.5616""","=""196621.9658""","=""3s2.3p4.(1D).3d""","=""2F""","=""5/2""","=""3s2.3p4.(3P<0>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""300.04451""","=""0.00005""","=""300.044527""","=""0.000018""","=""17""","=""1.5e+08""",D,"=""159393.3850""","=""192712.058""","=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""","=""3s2.3p4.(3P).4d""","=""2D""","=""3/2""",,"=""T1240""","=""L11520""",
Ar,3,"=""300.26407""","=""0.00006""","=""300.26399""","=""0.00004""","=""16""","=""""",,"=""211063.760""","=""244358.081""","=""3s2.3p3.(2P*).4s""","=""1P*""","=""1""","=""3s2.3p3.(2P*).4p""","=""1D""","=""2""",,"=""""","=""L11520""",
Ar,2,"=""300.2964""","=""0.0003""","=""300.296447""","=""0.000014""","=""4""","=""""",,"=""172829.6539""","=""206120.3769""","=""3s2.3p4.(1D).3d""","=""2D""","=""3/2""","=""3s2.3p4.(3P<1>).5f""","=""2[2]*""","=""5/2""",,"=""""","=""L11520""",
Ar,2,"=""300.4486""","=""0.0006""","=""300.448994""","=""0.000015""","=""2""","=""""",,"=""172829.6539""","=""206103.4749""","=""3s2.3p4.(1D).3d""","=""2D""","=""3/2""","=""3s2.3p4.(3P<1>).5f""","=""2[2]*""","=""3/2""",,"=""""","=""L14821""",
Ar,3,"=""""","=""""","=""300.522""","=""0.004""","=""""","=""4.3e-02""",D,"=""0.000""","=""33265.7""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p4""","=""1S""","=""0""",E2,"=""T761""","=""""",
Ar,8,"=""300.66""","=""0.03""","=""300.66""","=""0.07""","=""""","=""""",,"=""998465.""","=""1031716.""","=""2p6.7p""","=""2P*""","=""1/2""","=""2p6.8s""","=""2S""","=""1/2""",,"=""""","=""L11180""",
Ar,3,"=""301.002""","=""0.003""","=""300.9985""","=""0.0011""","=""10""","=""""",,"=""210212.72""","=""243425.7974""","=""3s2.3p3.(2P*).3d""","=""3D*""","=""3""","=""3s2.3p3.(2P*).4p""","=""3P""","=""2""",,"=""""","=""L7493""",
Ar,2,"=""301.44819""","=""0.00010""","=""301.448204""","=""0.000006""","=""7""","=""""",,"=""159393.3850""","=""192556.9179""","=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""","=""3s2.3p4.(3P).4d""","=""2D""","=""5/2""",,"=""""","=""L11520""",
Ar,4,"=""301.615""","=""0.005""","=""301.607""","=""0.003""","=""5""","=""""",,"=""256087.8""","=""289233.9""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4P*""","=""3/2""",,"=""""","=""L4489""",
Ar,3,"=""302.39801""","=""0.00017""","=""302.39806""","=""0.00004""","=""5""","=""2.6e+08""",D,"=""207233.003""","=""240292.3714""","=""3s2.3p3.(2P*).4s""","=""3P*""","=""2""","=""3s2.3p3.(2P*).4p""","=""3D""","=""3""",,"=""T1619CA,LS""","=""L11520""",
Ar,2,"=""302.67455""","=""0.00002""","=""302.674550""","=""0.000013""","=""35""","=""""",,"=""172213.8798""","=""205243.0497""","=""3s2.3p4.(1D).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(1D).4d""","=""2S""","=""1/2""",,"=""""","=""L11520""",
Ar,3,"=""302.716""","=""0.003""","=""302.70864""","=""0.00005""","=""5""","=""6.4e+07""",D,"=""207233.003""","=""240258.453""","=""3s2.3p3.(2P*).4s""","=""3P*""","=""2""","=""3s2.3p3.(2P*).4p""","=""3D""","=""2""",,"=""T1619CA,LS""","=""L7493""",
Ar,8,"=""302.81""","=""0.04""","=""302.82""","=""0.08""","=""""","=""""",,"=""832261.""","=""865274.""","=""2p6.5p""","=""2P*""","=""1/2""","=""2p6.5d""","=""2D""","=""3/2""",,"=""""","=""L13101""",
Ar,2,"=""302.8721""","=""0.0006""","=""302.872055""","=""0.000018""","=""3""","=""""",,"=""172213.8798""","=""205221.512""","=""3s2.3p4.(1D).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).5d""","=""2P""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""302.89140""","=""0.00002""","=""302.891004""","=""0.000007""","=""47*""","=""""",,"=""163299.5616""","=""196305.1289""","=""3s2.3p4.(1D).3d""","=""2F""","=""5/2""","=""3s2.3p4.(3P<1>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""302.89140""","=""0.00002""","=""302.891399""","=""0.000018""","=""47*""","=""2.3e+08""",D,"=""159706.5337""","=""192712.058""","=""3s2.3p4.(3P).4p""","=""2P*""","=""1/2""","=""3s2.3p4.(3P).4d""","=""2D""","=""3/2""",,"=""T1240""","=""L11520""",
Ar,2,"=""303.35082""","=""0.00001""","=""303.350811""","=""0.000003""","=""78""","=""9.9e+06""",B,"=""139258.3389""","=""172213.8798""","=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p4.(1D).4p""","=""2P*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""303.6887""","=""0.0012""","=""303.689238""","=""0.000007""","=""2bl?""","=""""",,"=""157673.4134""","=""190592.2306""","=""3s2.3p4.(3P).4p""","=""4D*""","=""5/2""","=""3s2.3p4.(3P).4d""","=""2P""","=""3/2""",,"=""""","=""L14821""",
Ar,3,"=""303.696""","=""0.003""","=""303.68767""","=""0.00012""","=""3""","=""7.0e+06""",E,"=""207233.003""","=""240151.990""","=""3s2.3p3.(2P*).4s""","=""3P*""","=""2""","=""3s2.3p3.(2P*).4p""","=""3D""","=""1""",,"=""T1619CA,LS""","=""L7493""",
Ar,4,"=""303.791""","=""0.003""","=""303.790""","=""0.003""","=""9""","=""3.6e+07""",E,"=""257343.58""","=""290251.5""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""",,"=""T1619CA,LS""","=""L11418""",
Ar,2,"=""304.2463""","=""0.0006""","=""304.246739""","=""0.000011""","=""1""","=""""",,"=""172335.5985""","=""205194.0978""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<2>).5f""","=""2[1]*""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""304.60787""","=""0.00008""","=""304.607913""","=""0.000005""","=""6""","=""""",,"=""163299.5616""","=""196119.1021""","=""3s2.3p4.(1D).3d""","=""2F""","=""5/2""","=""3s2.3p4.(3P<1>).4f""","=""2[4]*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""304.7053""","=""0.0006""","=""304.705269""","=""0.000004""","=""0.5""","=""""",,"=""163506.5368""","=""196315.5916""","=""3s2.3p4.(1D).3d""","=""2F""","=""7/2""","=""3s2.3p4.(3P<1>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""304.8021""","=""0.0006""","=""304.802474""","=""0.000006""","=""2""","=""""",,"=""163506.5368""","=""196305.1289""","=""3s2.3p4.(1D).3d""","=""2F""","=""7/2""","=""3s2.3p4.(3P<1>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L14821""",
Ar,2,"=""304.8784""","=""0.0006""","=""304.878841""","=""0.000006""","=""2""","=""""",,"=""163299.5616""","=""196089.9385""","=""3s2.3p4.(1D).3d""","=""2F""","=""5/2""","=""3s2.3p4.(3P<1>).4f""","=""2[2]*""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""305.0043""","=""0.0006""","=""305.004111""","=""0.000010""","=""1""","=""""",,"=""163299.5616""","=""196076.4715""","=""3s2.3p4.(1D).3d""","=""2F""","=""5/2""","=""3s2.3p4.(3P<1>).4f""","=""2[2]*""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""305.3151""","=""0.0006""","=""305.315013""","=""0.000010""","=""5""","=""""",,"=""172335.5985""","=""205079.1331""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<2>).5f""","=""2[2]*""","=""5/2""",,"=""""","=""L14821""",
Ar,3,"=""305.47736""","=""0.00045""","=""305.4775""","=""0.0004""","=""3""","=""1.9e+08""",D,"=""207532.33""","=""240258.453""","=""3s2.3p3.(2P*).4s""","=""3P*""","=""1""","=""3s2.3p3.(2P*).4p""","=""3D""","=""2""",,"=""T1619CA,LS""","=""L11520""",
Ar,2,"=""305.5281""","=""0.0006""","=""305.527974""","=""0.000010""","=""0.5""","=""""",,"=""172335.5985""","=""205056.3109""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<2>).5f""","=""2[2]*""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""306.09059""","=""0.00010""","=""306.090557""","=""0.000009""","=""7""","=""""",,"=""172335.5985""","=""204996.1739""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<2>).5f""","=""2[3]*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""306.2643""","=""0.0006""","=""306.264300""","=""0.000009""","=""3""","=""""",,"=""172335.5985""","=""204977.6464""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<2>).5f""","=""2[3]*""","=""5/2""",,"=""""","=""L14821""",
Ar,3,"=""306.477""","=""0.003""","=""306.4745""","=""0.0004""","=""10""","=""1.0e+08""",D,"=""207532.33""","=""240151.990""","=""3s2.3p3.(2P*).4s""","=""3P*""","=""1""","=""3s2.3p3.(2P*).4p""","=""3D""","=""1""",,"=""T1619CA,LS""","=""L7493""",
Ar,2,"=""306.5120""","=""0.0012""","=""306.513328""","=""0.000009""","=""3w,bl""","=""""",,"=""172335.5985""","=""204951.1273""","=""3s2.3p4.(1D).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<2>).5f""","=""2[4]*""","=""7/2""",,"=""""","=""L14821""",
Ar,2,"=""306.5400""","=""0.0006""","=""306.541182""","=""0.000004""","=""0.5""","=""""",,"=""163506.5368""","=""196119.1021""","=""3s2.3p4.(1D).3d""","=""2F""","=""7/2""","=""3s2.3p4.(3P<1>).4f""","=""2[4]*""","=""7/2""",,"=""""","=""L14821""",
